city,state_id,state_name,county_name,lat,lng,population,density,zips
Pocono Mountain Lake Estates,PA,Pennsylvania,Pike,41.1567,-74.9646,973,176.6,18324
Alcester,SD,South Dakota,Union,43.0278,-96.6268,973,511.9,57001
Wayne City,IL,Illinois,Wayne,38.3481,-88.5895,973,217.3,62895
Sweet Home,AR,Arkansas,Pulaski,34.6707,-92.2465,973,96.6,72206 72164
Crystal Springs,FL,Florida,Pasco,28.183,-82.1539,973,63.6,33540 33524
Brushy,OK,Oklahoma,Sequoyah,35.5578,-94.7434,973,14.4,74955
Owen,WI,Wisconsin,Clark,44.9485,-90.5621,972,161,54460 54498
Vardaman,MS,Mississippi,Calhoun,33.8822,-89.1778,972,276.5,38878
Agency Village,SD,South Dakota,Roberts,45.5796,-97.0782,972,52.5,57262
Upper Exeter,PA,Pennsylvania,Luzerne,41.407,-75.8503,971,190.9,18643
Earlston,PA,Pennsylvania,Bedford,40.0038,-78.3736,971,347.1,15537
Farmington,PA,Pennsylvania,Fayette,39.81,-79.5623,971,147.3,15437
Stromsburg,NE,Nebraska,Polk,41.1159,-97.5912,970,365.5,68666
Philpot,KY,Kentucky,Daviess,37.7356,-87.0013,970,114,42303 42366
St. George Island,FL,Florida,Franklin,29.652,-84.8881,970,78.8,32328
Camp Wood,TX,Texas,Real,29.6691,-100.0108,970,743.8,78833
Castle Hayne,NC,North Carolina,New Hanover,34.3583,-77.9114,970,78.6,28429
Spring Hill,PA,Pennsylvania,Cambria,40.3704,-78.6691,970,358.8,15946
Alderson,WV,West Virginia,Greenbrier,37.7277,-80.6436,969,418.6,24910
Rio,VA,Virginia,Albemarle,38.0804,-78.4732,969,605.5,22901
Gladbrook,IA,Iowa,Tama,42.1861,-92.7151,969,536.6,50635
Flint Creek,OK,Oklahoma,Delaware,36.1765,-94.7436,969,58.8,74347
Emerald Bay,TX,Texas,Smith,32.1602,-95.438,969,486.1,75757
Magazine,AR,Arkansas,Logan,35.1534,-93.8078,969,206,72943
Dilworthtown,PA,Pennsylvania,Chester,39.9032,-75.5709,969,589.6,19382
Jones Valley,CA,California,Shasta,40.6999,-122.2405,969,58.2,96003
Jeffersonville,GA,Georgia,Twiggs,32.6863,-83.3433,968,102.2,31044
Oriental,NC,North Carolina,Pamlico,35.0357,-76.6816,968,261.3,28571
Chicora,PA,Pennsylvania,Butler,40.9505,-79.7401,968,700.9,16025
Riceboro,GA,Georgia,Liberty,31.7264,-81.4438,967,33.6,31323
Hollywood,AL,Alabama,Jackson,34.7195,-85.9641,967,41.1,35769 35752
